title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
伊利诺伊理工学院 ,103*(3),美国,伊利诺伊州,芝加哥,私立，男女合校,1890年*(1),无,"7,792",全国性大学,www.iit.edu*(7)
奥克兰理工大学 ,,新西兰,,奥克兰,公立，男女合校,1895年,无,"27,140",综合性大学,www.aut.ac.nz
舍布鲁克大学 ,15,加拿大,魁北克省,舍布鲁克、隆格伊,公立，男女合校,1954年,无,"35,000",医博类大学,www.usherbrooke.ca
电子科技大学 ,,,,,,,,,,
肯特大学 ,33,英国,英格兰,坎特伯雷,公立，男女合校,1965年,无,"20,310",综合性大学,www.kent.ac.uk
哈勒-维滕贝格大学 ,,德国,,哈勒,公立，男女合校,1502年*(1),无,"21,000(2013年)*(4)",综合性大学，可授予博士学位,www.uni-halle.de
朴茨茅斯大学 ,55,英国,英格兰,朴茨茅斯,公立，男女合校,1869年,无,"23,705",综合性大学,www.port.ac.uk
威廉玛丽学院 ,32*(2),美国,弗吉尼亚州,威廉斯堡,公立，男女合校,1693,无,"8,484*(2)",全国性大学,www.wm.edu
怀俄明大学 ,181*(2),美国,怀俄明州,拉勒米,公立，男女合校,1886年*(1),无,"12,648*(2)",全国性大学,www.uwyo.edu
路易维尔大学 ,165,美国,肯塔基州,路易维尔,公立，男女合校,1798,无,"21,295",综合性大学,www.louisville.edu
阿拉斯加大学费尔班克斯分校 ,207*(5),美国,阿拉斯加州,费尔班克斯,公立，男女合校,1917年*(1),无,"8,719*(3)",全国性大学,www.uaf.edu
肯特州立大学 ,176,美国,俄亥俄州,肯特,公立，男女合校,1910,无,"29,762",综合性大学,www.kent.edu
化学 ,,,,,,,,,,
杨百翰大学 ,USNEWS：61*(3),美国,犹他州,"普罗沃,（Provo，UT）",私立，男女合校*(4),1865,摩门,"33,469",全国性大学,"home.byu.edu,*(4)"
利物浦约翰摩尔斯大学 ,83,英国,英格兰,利物浦,公立，男女合校,1823年,无,"24,455",综合性大学,www.ljmu.ac.uk
克莱蒙森大学 ,67*(2),美国,南卡罗来纳州,克莱蒙森,公立，男女合校,1889*(1),无,"21,957*(3)(4)",全国性大学,www.clemson.edu
曼海姆大学 ,,德国,,曼海姆,公立，男女合校,1907年*(1),无,"12,151*(4)",综合性大学，可授予博士学位,www.uni-mannheim.de
汉诺威大学 ,,德国,,汉诺威,公立，男女合校,1831年*(1),无,"23,877(2014年)*(4)",综合性大学，可授予博士学位,www.uni-hannover.de
拜罗伊特大学 ,,德国,,拜罗伊特,公立，男女合校,1975年*(1),无,"13,470(2013年)*(1)",综合性大学，可授予博士学位,www.uni-bayreuth.de
上海大学 ,,,,,,,,,,
拉夫堡大学 ,21,英国,英格兰,拉夫堡,公立，男女合校,1909年,无,"16,025",综合性大学,www.lboro.ac.uk
湖南大学 ,,,,,,,,,,
圣路易斯大学 ,94*(3),美国,密苏里州,"圣路易斯,市",公立，男女合校,1818年*(1),天主,"12,914",全国性大学,"www.slu.edu,*(4)"
赫瑞瓦特大学 ,38,英国,苏格兰,爱丁堡,公立，男女合校,1821年,无,"10,870",综合性大学,www.hw.ac.uk
萨斯喀彻温大学 ,14,加拿大,萨斯喀彻温省,萨斯卡通,公立，男女合校,1907年,无,"19,468",医博类大学,www.usask.ca
罗斯托克大学 ,,德国,,罗斯托克,公立，男女合校,1962年*(1),无,"14,417(2014年)*(4)",综合性大学，可授予博士学位,www.uni-rostock.de
兰州大学 ,,,,,,,,,,
四川大学 ,,,,,,,,,,
马萨诸塞大学波士顿分校 ,202,美国,马萨诸塞州,波士顿,公立，男女合校,1964,无,"17,030",综合性大学,www.umb.edu
华东理工大学 ,,,,,,,,,,
华东师范大学 ,,,,,,,,,,
